Feature Name,Description,Data Type,Input Type,Answer Options
oneDrop_metabolomics_Cholesteryl.Esters.in.Very.Large.VLDL,Cholesteryl Esters in Very Large VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Large.VLDL,Cholesteryl Esters in Large VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Medium.VLDL,Cholesteryl Esters in Medium VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Small.VLDL,Cholesteryl Esters in Small VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Very.Small.VLDL,Cholesteryl Esters in Very Small VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.IDL,Cholesteryl Esters in IDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Large.LDL,Cholesteryl Esters in Large LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Medium.LDL,Cholesteryl Esters in Medium LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Small.LDL,Cholesteryl Esters in Small LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Very.Large.HDL,Cholesteryl Esters in Very Large HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Large.HDL,Cholesteryl Esters in Large HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Medium.HDL,Cholesteryl Esters in Medium HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Cholesteryl.Esters.in.Small.HDL,Cholesteryl Esters in Small HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Free.Cholesterol,Total Free Cholesterol,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.VLDL,Free Cholesterol in VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.LDL,Free Cholesterol in LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.HDL,Free Cholesterol in HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Chylomicrons.and.Extremely.Large.VLDL,Free Cholesterol in Chylomicrons and Extremely Large VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Very.Large.VLDL,Free Cholesterol in Very Large VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Large.VLDL,Free Cholesterol in Large VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Medium.VLDL,Free Cholesterol in Medium VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Small.VLDL,Free Cholesterol in Small VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Very.Small.VLDL,Free Cholesterol in Very Small VLDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.IDL,Free Cholesterol in IDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Large.LDL,Free Cholesterol in Large LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Medium.LDL,Free Cholesterol in Medium LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Small.LDL,Free Cholesterol in Small LDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Very.Large.HDL,Free Cholesterol in Very Large HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Large.HDL,Free Cholesterol in Large HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Medium.HDL,Free Cholesterol in Medium HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Free.Cholesterol.in.Small.HDL,Free Cholesterol in Small HDL,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Phospholipids.in.Lipoprotein.Particles,Total phospholipids in lipoprotein particles,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.VLDL,Phospholipids in vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.LDL,Phospholipids in ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.HDL,Phospholipids in hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Chylomicrons.and.Extremely.Large.VLDL,Phospholipids in chylomicrons and extremely large vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Very.Large.VLDL,Phospholipids in very large vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Large.VLDL,Phospholipids in large vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Medium.VLDL,Phospholipids in medium vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Small.VLDL,Phospholipids in small vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Very.Small.VLDL,Phospholipids in very small vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.IDL,Phospholipids in idl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Large.LDL,Phospholipids in large ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Medium.LDL,Phospholipids in medium ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Small.LDL,Phospholipids in small ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Very.Large.HDL,Phospholipids in very large hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Large.HDL,Phospholipids in large hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Medium.HDL,Phospholipids in medium hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Phospholipids.in.Small.HDL,Phospholipids in small hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Lipoprotein.Particles,Total lipids in lipoprotein particles,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.VLDL,Total lipids in vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.LDL,Total lipids in ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.HDL,Total lipids in hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Chylomicrons.and.Extremely.Large.VLDL,Total lipids in chylomicrons and extremely large vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Very.Large.VLDL,Total lipids in very large vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Large.VLDL,Total lipids in large vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Medium.VLDL,Total lipids in medium vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Small.VLDL,Total lipids in small vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Very.Small.VLDL,Total lipids in very small vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.IDL,Total lipids in idl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Large.LDL,Total lipids in large ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Medium.LDL,Total lipids in medium ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Small.LDL,Total lipids in small ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Very.Large.HDL,Total lipids in very large hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Large.HDL,Total lipids in large hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Medium.HDL,Total lipids in medium hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Lipids.in.Small.HDL,Total lipids in small hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Phosphoglycerides,Phosphoglycerides,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Cholines,Total cholines,numerical,Enter integer answer,
oneDrop_metabolomics_Phosphatidylcholines,Phosphatidylcholines,numerical,Enter integer answer,
oneDrop_metabolomics_Sphingomyelins,Sphingomyelins,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Triglycerides,Total triglycerides,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.VLDL,Triglycerides in vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.LDL,Triglycerides in ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.HDL,Triglycerides in hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Chylomicrons.and.Extremely.Large.VLDL,Triglycerides in chylomicrons and extremely large vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Very.Large.VLDL,Triglycerides in very large vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Large.VLDL,Triglycerides in large vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Medium.VLDL,Triglycerides in medium vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Small.VLDL,Triglycerides in small vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Very.Small.VLDL,Triglycerides in very small vldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.IDL,Triglycerides in idl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Large.LDL,Triglycerides in large ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Medium.LDL,Triglycerides in medium ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Small.LDL,Triglycerides in small ldl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Very.Large.HDL,Triglycerides in very large hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Large.HDL,Triglycerides in large hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Medium.HDL,Triglycerides in medium hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Triglycerides.in.Small.HDL,Triglycerides in small hdl,numerical,Enter integer answer,
oneDrop_metabolomics_Total.Fatty.Acids,Total fatty acids,numerical,Enter integer answer,
oneDrop_metabolomics_Degree.of.Unsaturation,Degree of unsaturation,numerical,Enter integer answer,
oneDrop_metabolomics_Omega-3.Fatty.Acids,Omega-3 fatty acids,numerical,Enter integer answer,
oneDrop_metabolomics_Omega-6.Fatty.Acids,Omega-6 fatty acids,numerical,Enter integer answer,
oneDrop_metabolomics_Polyunsaturated.Fatty.Acids,Polyunsaturated fatty acids,numerical,Enter integer answer,
oneDrop_metabolomics_Monounsaturated.Fatty.Acids,Monounsaturated fatty acids,numerical,Enter integer answer,
oneDrop_metabolomics_Saturated.Fatty.Acids,Saturated fatty acids,numerical,Enter integer answer,
oneDrop_metabolomics_Linoleic.Acid,Linoleic acid,numerical,Enter integer answer,
oneDrop_metabolomics_Docosahexaenoic.Acid,Docosahexaenoic acid,numerical,Enter integer answer,
oneDrop_metabolomics_Glucose,Glucose,numerical,Enter integer answer,
oneDrop_metabolomics_Lactate,Lactate,numerical,Enter integer answer,
oneDrop_metabolomics_Pyruvate,Pyruvate,numerical,Enter integer answer,
oneDrop_metabolomics_Citrate,Citrate,numerical,Enter integer answer,
oneDrop_metabolomics_3-Hydroxybutyrate,3-hydroxybutyrate,numerical,Enter integer answer,
oneDrop_metabolomics_Acetate,Acetate,numerical,Enter integer answer,
oneDrop_metabolomics_Acetoacetate,Acetoacetate,numerical,Enter integer answer,
oneDrop_metabolomics_Acetone,Acetone,numerical,Enter integer answer,
oneDrop_metabolomics_Creatinine,Creatinine,numerical,Enter integer answer,
oneDrop_metabolomics_Albumin,Albumin,numerical,Enter integer answer,
oneDrop_metabolomics_Glycoprotein.Acetyls,Glycoprotein acetyls,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.alzheimer.s.disease..AD.,Polygenic risk score for alzheimer s diseaseE ad,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.cardiovascular.disease..CVD.,Polygenic risk score for cardiovascular diseaseE cvd,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.type.1.diabetes..T1D.,Polygenic risk score for type 1 diabetesE t1d,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.type.2.diabetes..T2D.,Polygenic risk score for type 2 diabetesE t2d,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.atrial.fibrillation..AF.,Polygenic risk score for atrial fibrillationE af,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.coronary.artery.disease..CAD.,Polygenic risk score for coronary artery diseaseE cad,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.venous.thromboembolic.disease..VTE.,Polygenic risk score for venous thromboembolic diseaseE vte,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.ischaemic.stroke..ISS.,Polygenic risk score for ischaemic strokeE iss,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.asthma..AST.,Polygenic risk score for asthmaE ast,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.melanoma..MEL.,Polygenic risk score for melanomaE mel,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.bowel.cancer..CRC.,Polygenic risk score for bowel cancerE crc,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.prostate.cancer..PC.,Polygenic risk score for prostate cancerE pc,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.breast.cancer..BC.,Polygenic risk score for breast cancerE bc,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.parkinson.s.disease..PD.,Polygenic risk score for parkinson s diseaseE pd,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.osteoporosis..OP.,Polygenic risk score for osteoporosisE op,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.primary.open.angle.glaucoma..POAG.,Polygenic risk score for primary open angle glaucomaE poag,numerical,Enter integer answer,
oneDrop_prs_Standard.PRS.for.hypertension..HT.,Polygenic risk score for hypertensionE ht,numerical,Enter integer answer,
category_Sociodemographics_ts_Length.of.time.at.current.address...Instance.0,How many years have you lived at your current address?,numeric,Enter integer answer,
category_Lifestyle and environment_ts_Number.of.days.week.of.vigorous.physical.activity.10..minutes...Instance.0,"In a typical WEEK, how many days did you do 10 minutes or more of vigorous physical activity?
(These are activities that make you sweat
or breathe hard such as fast cycling, aerobics, heavy lifting)",numeric,Enter integer answer,
category_Lifestyle and environment_ts_Time.spent.driving...Instance.0,"In a typical DAY, how many hours do you spend driving?",numeric,Enter integer answer,
category_Lifestyle and environment_ts_Time.spent.watching.television..TV....Instance.0,"In a typical DAY, how many hours do you spend watching TV?
(Put 0 if you do not spend any time doing it)",numeric,Enter integer answer,
category_Lifestyle and environment_ts_Cooked.vegetable.intake...Instance.0,"On average how many heaped tablespoons of COOKED vegetables would you eat per DAY?
(Do not include potatoes; put '0' if you do not eat any)",numeric,Enter integer answer,
category_Lifestyle and environment_ts_Salad...raw.vegetable.intake...Instance.0,"On average how many heaped tablespoons of SALAD or RAW vegetables would you eat per DAY?(Include lettuce, tomato in sandwiches; put '0' if you do not eat any)",numeric,Enter integer answer,
category_Lifestyle and environment_ts_Fresh.fruit.intake...Instance.0,"About how many pieces of FRESH fruit would you eat per DAY?
(Count one apple, one banana, 10 grapes etc as one piece; put '0' if you do not eat any)",numeric,Enter integer answer,
category_Lifestyle and environment_ts_Dried.fruit.intake...Instance.0,"About how many pieces of DRIED fruit would you eat per DAY?
(Count one prune, one dried apricot, 10 raisins as one piece; put '0' if you do not eat any)",numeric,Enter integer answer,
category_Lifestyle and environment_ts_Bread.intake...Instance.0,How many slices of bread do you eat each WEEK?,numeric,Enter integer answer,
category_Lifestyle and environment_ts_Cereal.intake...Instance.0,How many bowls of cereal do you eat a WEEK?,numeric,Enter integer answer,
category_Lifestyle and environment_ts_Tea.intake...Instance.0,How many cups of tea do you drink each DAY?(Include black and green tea),numeric,Enter integer answer,
category_Lifestyle and environment_ts_Coffee.intake...Instance.0,"How many cups of coffee do you drink each DAY?
(Include decaffeinated coffee)",numeric,Enter integer answer,
category_Lifestyle and environment_ts_Water.intake...Instance.0,How many glasses of water do you drink each DAY?,numeric,Enter integer answer,
category_Lifestyle and environment_ts_Time.spend.outdoors.in.summer...Instance.0,"In a typical DAY in summer, how many hours do you spend outdoors?",numeric,Enter integer answer,
category_Lifestyle and environment_ts_Time.spent.outdoors.in.winter...Instance.0,"In a typical DAY in winter, how many hours do you spend outdoors?",numeric,Enter integer answer,
category_Lifestyle and environment_ts_Frequency.of.solarium.sunlamp.use...Instance.0,How many times a year would you use a solarium or sunlamp?,numeric,Enter integer answer,
category_Sociodemographics_ts_Type.of.accommodation.lived.in...Instance.0_2,What type of accommodation do you live in?,logical,Select one answer,"2 : A flat, maisonette or apartment"
category_Sociodemographics_ts_Type.of.accommodation.lived.in...Instance.0_1,What type of accommodation do you live in?,logical,Select one answer,1 : A house or bungalow
category_Sociodemographics_ts_Type.of.accommodation.lived.in...Instance.0_4,What type of accommodation do you live in?,logical,Select one answer,4 : Sheltered accommodation
category_Sociodemographics_ts_Type.of.accommodation.lived.in...Instance.0_neg7,What type of accommodation do you live in?,logical,Select one answer,-7 : None of the above
category_Sociodemographics_ts_Type.of.accommodation.lived.in...Instance.0_3,What type of accommodation do you live in?,logical,Select one answer,3 : Mobile or temporary structure (i.e. caravan)
category_Sociodemographics_ts_Own.or.rent.accommodation.lived.in...Instance.0_2,Do you own or rent the accommodation that you live in?,logical,Select one answer,2 : Own with a mortgage
category_Sociodemographics_ts_Own.or.rent.accommodation.lived.in...Instance.0_1,Do you own or rent the accommodation that you live in?,logical,Select one answer,1 : Own outright (by you or someone in your household)
category_Sociodemographics_ts_Own.or.rent.accommodation.lived.in...Instance.0_3,Do you own or rent the accommodation that you live in?,logical,Select one answer,"3 : Rent - from local authority, local council, housing association"
category_Sociodemographics_ts_Own.or.rent.accommodation.lived.in...Instance.0_5,Do you own or rent the accommodation that you live in?,logical,Select one answer,5 : Pay part rent and part mortgage (shared ownership)
category_Sociodemographics_ts_Gas.or.solid.fuel.cooking.heating...Instance.0_1,Do you have any of the following in your home? (You can select more than one answer),logical,Toggle multiple answer,1 : A gas hob or gas cooker
category_Sociodemographics_ts_Gas.or.solid.fuel.cooking.heating...Instance.0_2,Do you have any of the following in your home? (You can select more than one answer),logical,Toggle multiple answer,2 : A gas fire that you use regularly in winter time
category_Sociodemographics_ts_Gas.or.solid.fuel.cooking.heating...Instance.0_neg7,Do you have any of the following in your home? (You can select more than one answer),logical,Select one answer,-7 : None of the above
category_Sociodemographics_ts_Gas.or.solid.fuel.cooking.heating...Instance.0_3,Do you have any of the following in your home? (You can select more than one answer),logical,Toggle multiple answer,3 : An open solid fuel fire that you use regularly in winter time
category_Sociodemographics_ts_Number.in.household...Instance.0_Lower.third,"Including yourself, how many people are living together in your household?
(Include those who usually live in the house such as students living away from home during term, partners in the
armed forces or professions such as pilots)",logical,Enter integer answer,
category_Sociodemographics_ts_Number.in.household...Instance.0_Upper.third,"Including yourself, how many people are living together in your household?
(Include those who usually live in the house such as students living away from home during term, partners in the
armed forces or professions such as pilots)",logical,Enter integer answer,
category_Sociodemographics_ts_Number.in.household...Instance.0_Middle.third,"Including yourself, how many people are living together in your household?
(Include those who usually live in the house such as students living away from home during term, partners in the
armed forces or professions such as pilots)",logical,Enter integer answer,
category_Sociodemographics_ts_How.are.people.in.household.related.to.participant...Instance.0_1,How are the other people who live with you related to you? (You can select more than one answer),logical,Toggle multiple answer,"1 : Husband, wife or partner"
category_Sociodemographics_ts_How.are.people.in.household.related.to.participant...Instance.0_2,How are the other people who live with you related to you? (You can select more than one answer),logical,Toggle multiple answer,2 : Son and/or daughter (include step-children)
category_Sociodemographics_ts_How.are.people.in.household.related.to.participant...Instance.0_6,How are the other people who live with you related to you? (You can select more than one answer),logical,Toggle multiple answer,6 : Grandchild
category_Sociodemographics_ts_How.are.people.in.household.related.to.participant...Instance.0_8,How are the other people who live with you related to you? (You can select more than one answer),logical,Toggle multiple answer,8 : Other unrelated
category_Sociodemographics_ts_How.are.people.in.household.related.to.participant...Instance.0_4,How are the other people who live with you related to you? (You can select more than one answer),logical,Toggle multiple answer,4 : Mother and/or father
category_Sociodemographics_ts_Number.of.vehicles.in.household...Instance.0_1,"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use)",logical,Select one answer,1 : None
category_Sociodemographics_ts_Number.of.vehicles.in.household...Instance.0_2,"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use)",logical,Select one answer,2 : One
category_Sociodemographics_ts_Number.of.vehicles.in.household...Instance.0_3,"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use)",logical,Select one answer,3 : Two
category_Sociodemographics_ts_Number.of.vehicles.in.household...Instance.0_5,"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use)",logical,Select one answer,5 : Four or more
